videoFile,condition,video,speaker,callSign,colour,number,seq,id,block,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,firstHalf.thisRepN,firstHalf.thisTrialN,firstHalf.thisN,firstHalf.thisIndex,blocksA.thisRepN,blocksA.thisTrialN,blocksA.thisN,blocksA.thisIndex,secondHalf.thisRepN,secondHalf.thisTrialN,secondHalf.thisN,secondHalf.thisIndex,blocksB.thisRepN,blocksB.thisTrialN,blocksB.thisN,blocksB.thisIndex,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
video/Training/zh_sp01_Ad_We_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,We,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,-0.45185185185185184,0.3282407407407407,1,0,0,5.696185599983437,call1,-0.031018518518518518,-0.3148148148148148,1,0,0,6.793289599998388,colour4,0.44814814814814813,-0.32175925925925924,1,0,0,7.393928899982711,number4,True,True,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp07_Ad_Ge_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Ge,3,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,-0.43657407407407406,0.31574074074074077,1,0,0,4.790304299996933,call1,0.023148148148148147,0.30462962962962964,1,0,0,5.637283899995964,colour1,0.43842592592592594,-0.10925925925925926,1,0,0,6.3183709000004455,number3,True,True,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp01_Dr_Ro_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Dr,Ro,3,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,-0.4101851851851852,0.11018518518518519,1,0,0,5.374668700009352,call2,0.016203703703703703,-0.1175925925925926,1,0,0,6.3950941000075545,colour3,0.3925925925925926,-0.13148148148148148,1,0,0,6.877167800004827,number3,True,True,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp07_Dr_Gr_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Dr,Gr,4,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,-0.42962962962962964,0.11296296296296296,1,0,0,4.846621700009564,call2,0.08703703703703704,0.07962962962962963,1,0,0,5.443881100014551,colour2,0.47453703703703703,-0.3175925925925926,1,0,0,6.110254999977769,number4,True,True,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp01_Ti_Gr_2_NoThetaInAudio_NoVideo.avi,noTheta,noVideo,sp01,Ti,Gr,2,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,-0.42268518518518516,0.33101851851851855,1,0,0,5.792517800000496,call1,0.03287037037037037,-0.32037037037037036,1,0,0,7.325301200005924,colour4,0.43703703703703706,0.1337962962962963,1,0,0,8.009985499986215,number2,False,False,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp07_Ti_Ro_1_NoThetaInAudio_NoVideo.avi,noTheta,noVideo,sp07,Ti,Ro,1,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,-0.41435185185185186,-0.08981481481481482,1,0,0,5.185377499990864,call3,-0.0032407407407407406,0.300462962962963,1,0,0,6.735248199984198,colour1,0.43842592592592594,0.30185185185185187,1,0,0,7.4397996999905445,number1,True,False,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp01_Un_Ge_1_NoThetaInAudio_GlobalThetaInVideo.avi,noTheta,plusVideo,sp01,Un,Ge,1,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,-0.45740740740740743,-0.3523148148148148,1,0,0,5.311819199996535,call4,-0.012962962962962963,0.3449074074074074,1,0,0,6.193270199990366,colour1,0.449537037037037,0.33240740740740743,1,0,0,6.884201900014887,number1,True,True,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp07_Un_We_2_NoThetaInAudio_GlobalThetaInVideo.avi,noTheta,plusVideo,sp07,Un,We,2,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,-0.412962962962963,-0.3162037037037037,1,0,0,4.659158099995693,call4,0.060648148148148145,-0.2953703703703704,1,0,0,5.308734399994137,colour4,0.4148148148148148,0.10740740740740741,1,0,0,5.989897900028154,number2,True,True,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp01_Ad_Ge_1_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp01,Ad,Ge,1,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,-0.4449074074074074,0.3199074074074074,1,0,0,5.6879315999976825,call1,0.009259259259259259,0.05740740740740741,1,0,0,6.66150529999868,colour2,0.47314814814814815,0.37824074074074077,1,0,0,7.275981699989643,number1,True,False,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
video/Training/zh_sp07_Ad_Ro_3_GlobalTheta_NoVideo.avi,globalTheta,noVideo,sp07,Ad,Ro,3,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,-0.42824074074074076,0.33101851851851855,1,0,0,4.518324900011066,call1,-0.014351851851851852,0.31574074074074077,1,0,0,5.983201800001552,colour1,0.4287037037037037,-0.10648148148148148,1,0,0,6.651523600012297,number3,True,False,True,45,5,2019_Nov_21_1704,MA_Theta_Exp,3.0.7,60.17947927599999,
