TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,control_block.thisRepN,control_block.thisTrialN,control_block.thisN,control_block.thisIndex,ctrl_trials.thisRepN,ctrl_trials.thisTrialN,ctrl_trials.thisN,ctrl_trials.thisIndex,response_ctrl.thisRepN,response_ctrl.thisTrialN,response_ctrl.thisN,response_ctrl.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,Begin_3.started,Begin_3.stopped,Fixation_2.started,Fixation_2.stopped,sound_digit1_2.started,sound_digit1_2.stopped,sound_digit2_2.started,sound_digit2_2.stopped,sound_digit3_2.started,sound_digit3_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,Begin_4.started,Begin_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010440049998578615,None,0.487198549999448,None,0.9733772500039777,None,None,,31.78063560000301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6069657999978517],31.77425629999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.13563910000084434],32.418462499997986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0101703499967698,None,0.47002414999587927,None,0.9533806499966886,None,None,,34.013840650002386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,34.01651230000425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.15080399999715155],34.71387929999764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009795650003070477,None,0.48592555000504944,None,0.9692033500032267,None,None,,36.33017384999912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6777944000059506],36.330284499999834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1319,eeg_contingent_digits,2021.2.3,60.005280464722134,
