audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,RAND_formula
audio/NV_DE_Neural2-D_Ti-ge-Dr_0.75p.wav,5.4022,NV,Neural2-D,Ti-ge-Dr,Ti,ge,Dr,0.75p,DE_Neural2-D_Ti-ge-Dr.TextGrid,0.17712,4.64712,0.84712,1.32712,2.35712,2.68712,3.82712,4.33712,0.000806393
audio/NV_DE_Neural2-F_Ti-gr-Vi_0.85p.wav,4.9453,NV,Neural2-F,Ti-gr-Vi,Ti,gr,Vi,0.85p,DE_Neural2-F_Ti-gr-Vi.TextGrid,0.15712,4.21712,0.74712,1.17712,1.97712,2.22712,3.31712,3.75712,0.002036265
audio/NV_DE_Neural2-F_Dr-ro-Dr_0.6p.wav,4.8729,NV,Neural2-F,Dr-ro-Dr,Dr,ro,Dr,0.6p,DE_Neural2-F_Dr-ro-Dr.TextGrid,0.16712,4.12712,0.66712,1.20712,2.04712,2.24712,3.28712,3.76712,0.002205194
audio/NV_DE_Neural2-F_Kr-ge-Vi_0.4p.wav,5.0233,NV,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,0.4p,DE_Neural2-F_Kr-ge-Vi.TextGrid,0.16712,4.25712,0.692109,1.23712,1.98712,2.25712,3.34712,3.82712,0.002365715
audio/NV_DE_Neural2-D_Kr-gr-Zw_0.8p.wav,5.4746,NV,Neural2-D,Kr-gr-Zw,Kr,gr,Zw,0.8p,DE_Neural2-D_Kr-gr-Zw.TextGrid,0.16712,4.73712,0.78712,1.30712,2.34712,2.67712,3.86712,4.32712,0.002929507
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.4p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.4p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712,0.002941717
audio/NV_DE_Neural2-F_Dr-gr-Ei_0.75p.wav,5.1726,NV,Neural2-F,Dr-gr-Ei,Dr,gr,Ei,0.75p,DE_Neural2-F_Dr-gr-Ei.TextGrid,0.16712,4.37712,0.66712,1.22712,2.02712,2.22712,3.33712,3.77712,0.003732832
audio/NV_DE_Neural2-D_Ad-we-Ei_0.85p.wav,5.6307,NV,Neural2-D,Ad-we-Ei,Ad,we,Ei,0.85p,DE_Neural2-D_Ad-we-Ei.TextGrid,0.16712,4.86712,0.76712,1.33712,2.49712,2.75712,3.90712,4.40712,0.005983895
audio/NV_DE_Neural2-D_Ti-we-Vi_0.9p.wav,5.4313,NV,Neural2-D,Ti-we-Vi,Ti,we,Vi,0.9p,DE_Neural2-D_Ti-we-Vi.TextGrid,0.16712,4.66712,0.84712,1.33712,2.36712,2.63712,3.82712,4.29712,0.008130063
audio/NV_DE_Neural2-D_Kr-gr-Dr_0.75p.wav,5.4346,NV,Neural2-D,Kr-gr-Dr,Kr,gr,Dr,0.75p,DE_Neural2-D_Kr-gr-Dr.TextGrid,0.16712,4.69712,0.78712,1.29712,2.30712,2.68712,3.90712,4.36712,0.00969014
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.75p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.75p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712,0.010490258
audio/NV_DE_Neural2-D_Dr-ge-Ei_0.2p.wav,5.4374,NV,Neural2-D,Dr-ge-Ei,Dr,ge,Ei,0.2p,DE_Neural2-D_Dr-ge-Ei.TextGrid,0.16712,4.68712,0.78712,1.25712,2.20712,2.56712,3.71712,4.17712,0.010557337
audio/NV_DE_Neural2-F_Ti-ro-Vi_0.9p.wav,4.9809,NV,Neural2-F,Ti-ro-Vi,Ti,ro,Vi,0.9p,DE_Neural2-F_Ti-ro-Vi.TextGrid,0.15712,4.24712,0.75712,1.19712,2.00712,2.23712,3.33712,3.78712,0.012180103
audio/NV_DE_Neural2-F_Ad-we-Ei_0.4p.wav,5.1733,NV,Neural2-F,Ad-we-Ei,Ad,we,Ei,0.4p,DE_Neural2-F_Ad-we-Ei.TextGrid,0.16712,4.41712,0.67712,1.25712,1.99712,2.25712,3.33712,3.75712,0.012592126
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.4p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.4p,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.69712,0.76712,1.34712,2.49712,2.76712,3.92712,4.36712,0.012775161
audio/NV_DE_Neural2-D_Dr-ro-Dr_0.8p.wav,5.2813,NV,Neural2-D,Dr-ro-Dr,Dr,ro,Dr,0.8p,DE_Neural2-D_Dr-ro-Dr.TextGrid,0.16712,4.56712,0.79712,1.26712,2.29712,2.63712,3.78712,4.22712,0.013228898
audio/NV_DE_Neural2-D_Kr-we-Vi_0.85p.wav,5.3989,NV,Neural2-D,Kr-we-Vi,Kr,we,Vi,0.85p,DE_Neural2-D_Kr-we-Vi.TextGrid,0.16712,4.62712,0.78712,1.29712,2.38712,2.64712,3.79712,4.27712,0.013990886
audio/NV_DE_Neural2-D_Kr-gr-Vi_0.4p.wav,5.4463,NV,Neural2-D,Kr-gr-Vi,Kr,gr,Vi,0.4p,DE_Neural2-D_Kr-gr-Vi.TextGrid,0.16712,4.68712,0.78712,1.29712,2.28712,2.62712,3.85712,4.32712,0.015173978
audio/NV_DE_Neural2-F_Ti-gr-Zw_0.2p.wav,4.9512,NV,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0.2p,DE_Neural2-F_Ti-gr-Zw.TextGrid,0.15712,4.21712,0.76712,1.19712,2.03712,2.21712,3.30712,3.77712,0.015490464
audio/NV_DE_Neural2-D_Kr-ge-Vi_0.4p.wav,5.3664,NV,Neural2-D,Kr-ge-Vi,Kr,ge,Vi,0.4p,DE_Neural2-D_Kr-ge-Vi.TextGrid,0.17712,4.63712,0.78712,1.26712,2.25712,2.63712,3.78712,4.25712,0.016078638
audio/NV_DE_Neural2-F_Ti-ge-Dr_1p.wav,4.9275,NV,Neural2-F,Ti-ge-Dr,Ti,ge,Dr,1p,DE_Neural2-F_Ti-ge-Dr.TextGrid,0.16712,4.20712,0.77712,1.21712,2.07712,2.27712,3.35712,3.83712,0.016591624
audio/NV_DE_Neural2-D_Dr-ro-Ei_0.95p.wav,5.5134,NV,Neural2-D,Dr-ro-Ei,Dr,ro,Ei,0.95p,DE_Neural2-D_Dr-ro-Ei.TextGrid,0.17712,4.77712,0.802109,1.28712,2.30712,2.65712,3.81712,4.31712,0.01903259
audio/NV_DE_Neural2-F_Ad-ge-Zw_0.6p.wav,4.9664,NV,Neural2-F,Ad-ge-Zw,Ad,ge,Zw,0.6p,DE_Neural2-F_Ad-ge-Zw.TextGrid,0.16712,4.24712,0.67712,1.25712,1.99712,2.25712,3.31712,3.79712,0.020104793
audio/NV_DE_Neural2-D_Dr-ro-Ei_0.8p.wav,5.5134,NV,Neural2-D,Dr-ro-Ei,Dr,ro,Ei,0.8p,DE_Neural2-D_Dr-ro-Ei.TextGrid,0.17712,4.77712,0.802109,1.28712,2.30712,2.65712,3.81712,4.31712,0.020662791
audio/NV_DE_Neural2-F_Kr-gr-Vi_0.8p.wav,5.0049,NV,Neural2-F,Kr-gr-Vi,Kr,gr,Vi,0.8p,DE_Neural2-F_Kr-gr-Vi.TextGrid,0.17712,4.27712,0.68712,1.23712,2.06712,2.25712,3.35712,3.84712,0.020822435
audio/NV_DE_Neural2-F_Ti-ge-Ei_0.8p.wav,5.0991,NV,Neural2-F,Ti-ge-Ei,Ti,ge,Ei,0.8p,DE_Neural2-F_Ti-ge-Ei.TextGrid,0.16712,4.33712,0.69712,1.21712,2.05712,2.25712,3.30712,3.72712,0.021102423
audio/NV_DE_Neural2-F_Ad-ro-Ei_0.9p.wav,5.1534,NV,Neural2-F,Ad-ro-Ei,Ad,ro,Ei,0.9p,DE_Neural2-F_Ad-ro-Ei.TextGrid,0.17712,4.34712,0.69712,1.26712,2.04712,2.25712,3.30712,3.78712,0.023350601
audio/NV_DE_Neural2-D_Ti-ge-Dr_0.4p.wav,5.4022,NV,Neural2-D,Ti-ge-Dr,Ti,ge,Dr,0.4p,DE_Neural2-D_Ti-ge-Dr.TextGrid,0.17712,4.64712,0.84712,1.32712,2.35712,2.68712,3.82712,4.33712,0.023421043
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.6p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.6p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712,0.02563306
audio/NV_DE_Neural2-D_Ad-ge-Ei_0.95p.wav,5.6324,NV,Neural2-D,Ad-ge-Ei,Ad,ge,Ei,0.95p,DE_Neural2-D_Ad-ge-Ei.TextGrid,0.17712,4.87712,0.76712,1.35712,2.38712,2.72712,3.91712,4.40712,0.026619527
audio/NV_DE_Neural2-F_Ad-we-Vi_0.4p.wav,5.0022,NV,Neural2-F,Ad-we-Vi,Ad,we,Vi,0.4p,DE_Neural2-F_Ad-we-Vi.TextGrid,0.17712,4.26712,0.67712,1.25712,2.04712,2.24712,3.35712,3.81712,0.027624039
audio/NV_DE_Neural2-D_Dr-we-Vi_0.6p.wav,5.3208,NV,Neural2-D,Dr-we-Vi,Dr,we,Vi,0.6p,DE_Neural2-D_Dr-we-Vi.TextGrid,0.17712,4.58712,0.81712,1.28712,2.34712,2.60712,3.76712,4.22712,0.028354848
audio/NV_DE_Neural2-F_Ad-we-Vi_0.85p.wav,5.0022,NV,Neural2-F,Ad-we-Vi,Ad,we,Vi,0.85p,DE_Neural2-F_Ad-we-Vi.TextGrid,0.17712,4.26712,0.67712,1.25712,2.04712,2.24712,3.35712,3.81712,0.029496364
audio/NV_DE_Neural2-F_Ti-ro-Ei_0.9p.wav,5.0619,NV,Neural2-F,Ti-ro-Ei,Ti,ro,Ei,0.9p,DE_Neural2-F_Ti-ro-Ei.TextGrid,0.15712,4.28712,0.67712,1.20712,2.03712,2.18712,3.26712,3.74712,0.031714278
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.4p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.4p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712,0.032944608
audio/NV_DE_Neural2-F_Ad-we-Vi_0.75p.wav,5.0022,NV,Neural2-F,Ad-we-Vi,Ad,we,Vi,0.75p,DE_Neural2-F_Ad-we-Vi.TextGrid,0.17712,4.26712,0.67712,1.25712,2.04712,2.24712,3.35712,3.81712,0.034525304
audio/NV_DE_Neural2-F_Kr-ge-Vi_0.6p.wav,5.0233,NV,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,0.6p,DE_Neural2-F_Kr-ge-Vi.TextGrid,0.16712,4.25712,0.692109,1.23712,1.98712,2.25712,3.34712,3.82712,0.034890118
audio/NV_DE_Neural2-D_Dr-we-Vi_0.95p.wav,5.3208,NV,Neural2-D,Dr-we-Vi,Dr,we,Vi,0.95p,DE_Neural2-D_Dr-we-Vi.TextGrid,0.17712,4.58712,0.81712,1.28712,2.34712,2.60712,3.76712,4.22712,0.035738772
audio/NV_DE_Neural2-F_Kr-we-Ei_0.6p.wav,5.172,NV,Neural2-F,Kr-we-Ei,Kr,we,Ei,0.6p,DE_Neural2-F_Kr-we-Ei.TextGrid,0.16712,4.43712,0.682109,1.23712,2.04712,2.23712,3.34712,3.77712,0.036477663
audio/NV_DE_Neural2-D_Dr-we-Dr_0.8p.wav,5.2596,NV,Neural2-D,Dr-we-Dr,Dr,we,Dr,0.8p,DE_Neural2-D_Dr-we-Dr.TextGrid,0.16712,4.54712,0.79712,1.26712,2.33712,2.59712,3.75712,4.20712,0.037218893
audio/NV_DE_Neural2-F_Dr-we-Zw_0.75p.wav,4.9699,NV,Neural2-F,Dr-we-Zw,Dr,we,Zw,0.75p,DE_Neural2-F_Dr-we-Zw.TextGrid,0.16712,4.24712,0.66712,1.20712,2.02712,2.24712,3.31712,3.78712,0.039157731
audio/NV_DE_Neural2-D_Dr-ro-Dr_0.85p.wav,5.2813,NV,Neural2-D,Dr-ro-Dr,Dr,ro,Dr,0.85p,DE_Neural2-D_Dr-ro-Dr.TextGrid,0.16712,4.56712,0.79712,1.26712,2.29712,2.63712,3.78712,4.22712,0.039700233
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.6p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.6p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712,0.042210418
audio/NV_DE_Neural2-F_Kr-ge-Ei_0.75p.wav,5.1524,NV,Neural2-F,Kr-ge-Ei,Kr,ge,Ei,0.75p,DE_Neural2-F_Kr-ge-Ei.TextGrid,0.16712,4.38712,0.68712,1.23712,1.98712,2.25712,3.31712,3.74712,0.043850407
audio/NV_DE_Neural2-F_Ad-ge-Dr_0.8p.wav,4.9357,NV,Neural2-F,Ad-ge-Dr,Ad,ge,Dr,0.8p,DE_Neural2-F_Ad-ge-Dr.TextGrid,0.16712,4.18712,0.67712,1.27712,2.06712,2.26712,3.34712,3.80712,0.044065801
audio/NV_DE_Neural2-F_Dr-ge-Ei_0.8p.wav,5.1509,NV,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,0.8p,DE_Neural2-F_Dr-ge-Ei.TextGrid,0.17712,4.35712,0.68712,1.22712,2.06712,2.25712,3.29712,3.72712,0.044183181
audio/NV_DE_Neural2-D_Dr-gr-Ei_0.95p.wav,5.5639,NV,Neural2-D,Dr-gr-Ei,Dr,gr,Ei,0.95p,DE_Neural2-D_Dr-gr-Ei.TextGrid,0.16712,4.82712,0.79712,1.26712,2.32712,2.61712,3.84712,4.34712,0.044713241
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.6p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.6p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712,0.044716236
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.9p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.9p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712,0.047451266
audio/NV_DE_Neural2-F_Ad-ro-Dr_0.75p.wav,4.8717,NV,Neural2-F,Ad-ro-Dr,Ad,ro,Dr,0.75p,DE_Neural2-F_Ad-ro-Dr.TextGrid,0.16712,4.13712,0.67712,1.26712,2.05712,2.22712,3.30712,3.76712,0.047989909
audio/NV_DE_Neural2-F_Ti-gr-Dr_1p.wav,4.8481,NV,Neural2-F,Ti-gr-Dr,Ti,gr,Dr,1p,DE_Neural2-F_Ti-gr-Dr.TextGrid,0.16712,4.13712,0.67712,1.18712,1.95712,2.20712,3.28712,3.74712,0.04895739
audio/NV_DE_Neural2-F_Ti-we-Vi_0.85p.wav,5.0131,NV,Neural2-F,Ti-we-Vi,Ti,we,Vi,0.85p,DE_Neural2-F_Ti-we-Vi.TextGrid,0.16712,4.26712,0.77712,1.19712,2.06712,2.27712,3.36712,3.83712,0.049287131
audio/NV_DE_Neural2-D_Dr-ge-Vi_0.9p.wav,5.3771,NV,Neural2-D,Dr-ge-Vi,Dr,ge,Vi,0.9p,DE_Neural2-D_Dr-ge-Vi.TextGrid,0.16712,4.62712,0.81712,1.29712,2.35712,2.61712,3.78712,4.25712,0.049651969
audio/NV_DE_Neural2-F_Ti-we-Ei_0.2p.wav,5.17,NV,Neural2-F,Ti-we-Ei,Ti,we,Ei,0.2p,DE_Neural2-F_Ti-we-Ei.TextGrid,0.16712,4.37712,0.76712,1.20712,2.05712,2.25712,3.35712,3.77712,0.050817483
audio/NV_DE_Neural2-F_Dr-we-Ei_0.75p.wav,5.146,NV,Neural2-F,Dr-we-Ei,Dr,we,Ei,0.75p,DE_Neural2-F_Dr-we-Ei.TextGrid,0.17712,4.34712,0.67712,1.21712,2.00712,2.20712,3.30712,3.78712,0.0508728
audio/NV_DE_Neural2-D_Ti-we-Vi_0.95p.wav,5.4313,NV,Neural2-D,Ti-we-Vi,Ti,we,Vi,0.95p,DE_Neural2-D_Ti-we-Vi.TextGrid,0.16712,4.66712,0.84712,1.33712,2.36712,2.63712,3.82712,4.29712,0.051433704
audio/NV_DE_Neural2-D_Ti-we-Ei_0.2p.wav,5.5762,NV,Neural2-D,Ti-we-Ei,Ti,we,Ei,0.2p,DE_Neural2-D_Ti-we-Ei.TextGrid,0.16712,4.83712,0.82712,1.33712,2.30712,2.67712,3.86712,4.35712,0.052804653
audio/NV_DE_Neural2-D_Ti-gr-Zw_0.4p.wav,5.4849,NV,Neural2-D,Ti-gr-Zw,Ti,gr,Zw,0.4p,DE_Neural2-D_Ti-gr-Zw.TextGrid,0.16712,4.76712,0.83712,1.33712,2.49712,2.73712,3.90712,4.37712,0.05458989
audio/NV_DE_Neural2-F_Ad-gr-Dr_0.75p.wav,4.9406,NV,Neural2-F,Ad-gr-Dr,Ad,gr,Dr,0.75p,DE_Neural2-F_Ad-gr-Dr.TextGrid,0.17712,4.22712,0.68712,1.25712,2.05712,2.25712,3.37712,3.84712,0.055092245
audio/NV_DE_Neural2-F_Dr-ro-Zw_0.6p.wav,4.9019,NV,Neural2-F,Dr-ro-Zw,Dr,ro,Zw,0.6p,DE_Neural2-F_Dr-ro-Zw.TextGrid,0.15712,4.17712,0.66712,1.19712,1.95712,2.16712,3.25712,3.74712,0.055737312
audio/NV_DE_Neural2-D_Ti-ro-Vi_1p.wav,5.4734,NV,Neural2-D,Ti-ro-Vi,Ti,ro,Vi,1p,DE_Neural2-D_Ti-ro-Vi.TextGrid,0.17712,4.72712,0.83712,1.33712,2.40712,2.71712,3.88712,4.35712,0.056526898
audio/NV_DE_Neural2-D_Dr-we-Dr_1p.wav,5.2596,NV,Neural2-D,Dr-we-Dr,Dr,we,Dr,1p,DE_Neural2-D_Dr-we-Dr.TextGrid,0.16712,4.54712,0.79712,1.26712,2.33712,2.59712,3.75712,4.20712,0.056683894
audio/NV_DE_Neural2-F_Dr-we-Vi_0.6p.wav,5.0409,NV,Neural2-F,Dr-we-Vi,Dr,we,Vi,0.6p,DE_Neural2-F_Dr-we-Vi.TextGrid,0.16712,4.29712,0.66712,1.21712,2.06712,2.26712,3.38712,3.85712,0.057890636
audio/NV_DE_Neural2-D_Kr-ro-Zw_0.9p.wav,5.3887,NV,Neural2-D,Kr-ro-Zw,Kr,ro,Zw,0.9p,DE_Neural2-D_Kr-ro-Zw.TextGrid,0.16712,4.63712,0.78712,1.30712,2.33712,2.63712,3.79712,4.24712,0.058029773
audio/NV_DE_Neural2-F_Ad-ro-Ei_0.85p.wav,5.1534,NV,Neural2-F,Ad-ro-Ei,Ad,ro,Ei,0.85p,DE_Neural2-F_Ad-ro-Ei.TextGrid,0.17712,4.34712,0.69712,1.26712,2.04712,2.25712,3.30712,3.78712,0.059741934
audio/NV_DE_Neural2-D_Dr-gr-Ei_0.6p.wav,5.5639,NV,Neural2-D,Dr-gr-Ei,Dr,gr,Ei,0.6p,DE_Neural2-D_Dr-gr-Ei.TextGrid,0.16712,4.82712,0.79712,1.26712,2.32712,2.61712,3.84712,4.34712,0.060131185
audio/NV_DE_Neural2-F_Ti-ge-Zw_1p.wav,4.9601,NV,Neural2-F,Ti-ge-Zw,Ti,ge,Zw,1p,DE_Neural2-F_Ti-ge-Zw.TextGrid,0.17712,4.23712,0.78712,1.19712,1.99712,2.25712,3.31712,3.76712,0.060431447
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.85p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.85p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712,0.060639909
audio/NV_DE_Neural2-F_Dr-we-Vi_0.4p.wav,5.0409,NV,Neural2-F,Dr-we-Vi,Dr,we,Vi,0.4p,DE_Neural2-F_Dr-we-Vi.TextGrid,0.16712,4.29712,0.66712,1.21712,2.06712,2.26712,3.38712,3.85712,0.061883339
audio/NV_DE_Neural2-F_Dr-we-Ei_0.4p.wav,5.146,NV,Neural2-F,Dr-we-Ei,Dr,we,Ei,0.4p,DE_Neural2-F_Dr-we-Ei.TextGrid,0.17712,4.34712,0.67712,1.21712,2.00712,2.20712,3.30712,3.78712,0.063528697
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.6p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.6p,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.69712,0.76712,1.34712,2.49712,2.76712,3.92712,4.36712,0.063777051
audio/NV_DE_Neural2-F_Dr-we-Dr_0.85p.wav,4.9166,NV,Neural2-F,Dr-we-Dr,Dr,we,Dr,0.85p,DE_Neural2-F_Dr-we-Dr.TextGrid,0.16712,4.20712,0.66712,1.21712,2.04712,2.25712,3.33712,3.81712,0.065713821
audio/NV_DE_Neural2-F_Dr-gr-Zw_0.9p.wav,4.9693,NV,Neural2-F,Dr-gr-Zw,Dr,gr,Zw,0.9p,DE_Neural2-F_Dr-gr-Zw.TextGrid,0.16712,4.22712,0.66712,1.21712,2.03712,2.21712,3.30712,3.78712,0.067576362
audio/NV_DE_Neural2-F_Dr-gr-Ei_0.85p.wav,5.1726,NV,Neural2-F,Dr-gr-Ei,Dr,gr,Ei,0.85p,DE_Neural2-F_Dr-gr-Ei.TextGrid,0.16712,4.37712,0.66712,1.22712,2.02712,2.22712,3.33712,3.77712,0.068253738
audio/NV_DE_Neural2-D_Ti-we-Dr_0.2p.wav,5.3747,NV,Neural2-D,Ti-we-Dr,Ti,we,Dr,0.2p,DE_Neural2-D_Ti-we-Dr.TextGrid,0.16712,4.63712,0.84712,1.34712,2.35712,2.64712,3.83712,4.31712,0.070261533
audio/NV_DE_Neural2-F_Ti-ro-Dr_0.9p.wav,4.843,NV,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,0.9p,DE_Neural2-F_Ti-ro-Dr.TextGrid,0.17712,4.10712,0.67712,1.18712,1.96712,2.22712,3.28712,3.74712,0.070470621
audio/NV_DE_Neural2-F_Ti-gr-Zw_0.8p.wav,4.9512,NV,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0.8p,DE_Neural2-F_Ti-gr-Zw.TextGrid,0.15712,4.21712,0.76712,1.19712,2.03712,2.21712,3.30712,3.77712,0.071978064
audio/NV_DE_Neural2-F_Ti-gr-Vi_0.9p.wav,4.9453,NV,Neural2-F,Ti-gr-Vi,Ti,gr,Vi,0.9p,DE_Neural2-F_Ti-gr-Vi.TextGrid,0.15712,4.21712,0.74712,1.17712,1.97712,2.22712,3.31712,3.75712,0.072159892
audio/NV_DE_Neural2-F_Kr-we-Zw_0.2p.wav,5.0204,NV,Neural2-F,Kr-we-Zw,Kr,we,Zw,0.2p,DE_Neural2-F_Kr-we-Zw.TextGrid,0.15712,4.28712,0.682109,1.24712,2.04712,2.25712,3.35712,3.80712,0.072317324
audio/NV_DE_Neural2-D_Dr-gr-Zw_0.85p.wav,5.4445,NV,Neural2-D,Dr-gr-Zw,Dr,gr,Zw,0.85p,DE_Neural2-D_Dr-gr-Zw.TextGrid,0.16712,4.68712,0.79712,1.29712,2.28712,2.63712,3.84712,4.29712,0.072588169
audio/NV_DE_Neural2-D_Ti-we-Ei_1p.wav,5.5762,NV,Neural2-D,Ti-we-Ei,Ti,we,Ei,1p,DE_Neural2-D_Ti-we-Ei.TextGrid,0.16712,4.83712,0.82712,1.33712,2.30712,2.67712,3.86712,4.35712,0.073000537
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.85p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.85p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712,0.073190528
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.75p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.75p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712,0.073583247
audio/NV_DE_Neural2-F_Kr-we-Dr_0.75p.wav,4.9052,NV,Neural2-F,Kr-we-Dr,Kr,we,Dr,0.75p,DE_Neural2-F_Kr-we-Dr.TextGrid,0.16712,4.18712,0.69712,1.25712,1.99712,2.25712,3.35712,3.80712,0.074762143
audio/NV_DE_Neural2-F_Ti-ge-Vi_0.95p.wav,5.0115,NV,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,0.95p,DE_Neural2-F_Ti-ge-Vi.TextGrid,0.15712,4.25712,0.77712,1.19712,2.00712,2.27712,3.35712,3.83712,0.076518391
audio/NV_DE_Neural2-F_Ti-we-Zw_0.75p.wav,4.9644,NV,Neural2-F,Ti-we-Zw,Ti,we,Zw,0.75p,DE_Neural2-F_Ti-we-Zw.TextGrid,0.15712,4.25712,0.75712,1.17712,2.03712,2.23712,3.34712,3.82712,0.076866579
audio/NV_DE_Neural2-F_Ad-ro-Vi_1p.wav,4.9648,NV,Neural2-F,Ad-ro-Vi,Ad,ro,Vi,1p,DE_Neural2-F_Ad-ro-Vi.TextGrid,0.17712,4.21712,0.68712,1.24712,2.04712,2.23712,3.31712,3.77712,0.078066493
audio/NV_DE_Neural2-D_Kr-ge-Dr_0.2p.wav,5.3277,NV,Neural2-D,Kr-ge-Dr,Kr,ge,Dr,0.2p,DE_Neural2-D_Kr-ge-Dr.TextGrid,0.16712,4.59712,0.78712,1.29712,2.382109,2.64712,3.79712,4.24712,0.078517374
audio/NV_DE_Neural2-F_Ti-ge-Vi_0.6p.wav,5.0115,NV,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,0.6p,DE_Neural2-F_Ti-ge-Vi.TextGrid,0.15712,4.25712,0.77712,1.19712,2.00712,2.27712,3.35712,3.83712,0.08042434
audio/NV_DE_Neural2-D_Dr-gr-Vi_0.9p.wav,5.4555,NV,Neural2-D,Dr-gr-Vi,Dr,gr,Vi,0.9p,DE_Neural2-D_Dr-gr-Vi.TextGrid,0.16712,4.73712,0.80712,1.31712,2.29712,2.66712,3.87712,4.35712,0.084853617
audio/NV_DE_Neural2-D_Dr-gr-Zw_0.9p.wav,5.4445,NV,Neural2-D,Dr-gr-Zw,Dr,gr,Zw,0.9p,DE_Neural2-D_Dr-gr-Zw.TextGrid,0.16712,4.68712,0.79712,1.29712,2.28712,2.63712,3.84712,4.29712,0.085043685
audio/NV_DE_Neural2-F_Kr-gr-Ei_0.9p.wav,5.1928,NV,Neural2-F,Kr-gr-Ei,Kr,gr,Ei,0.9p,DE_Neural2-F_Kr-gr-Ei.TextGrid,0.16712,4.40712,0.67712,1.23712,2.05712,2.24712,3.34712,3.77712,0.085398804
audio/NV_DE_Neural2-D_Kr-we-Zw_0.9p.wav,5.3987,NV,Neural2-D,Kr-we-Zw,Kr,we,Zw,0.9p,DE_Neural2-D_Kr-we-Zw.TextGrid,0.16712,4.63712,0.78712,1.29712,2.26712,2.63712,3.79712,4.24712,0.08555683
