TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,control_block.thisRepN,control_block.thisTrialN,control_block.thisN,control_block.thisIndex,ctrl_trials.thisRepN,ctrl_trials.thisTrialN,ctrl_trials.thisN,ctrl_trials.thisIndex,response_ctrl.thisRepN,response_ctrl.thisTrialN,response_ctrl.thisN,response_ctrl.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,Fixation_2.started,Fixation_2.stopped,sound_digit1_2.started,sound_digit1_2.stopped,sound_digit2_2.started,sound_digit2_2.stopped,sound_digit3_2.started,sound_digit3_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,Begin_4.started,Begin_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1783584000004339],31.913052299998526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010779690011986531,None,0.4880018900075811,None,0.9712633900126093,None,None,,33.56268969000375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.2878151000040816],33.56291749999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1490579999954207],33.87937519999832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004964900072081946,None,0.48815319001005264,None,0.9509510900097666,None,None,,35.49590309000341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.37428039999940665],35.49990539999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.14754769999854034],35.89597830000275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1315,eeg_contingent_digits,2021.2.3,59.989010012613235,
